"ID number","Word","Part of Speech","CEFR","Points","","","",""
"75","then","Adverb","“A1”","6","","","",""
"76","two","Number","“A1”","6","","","",""
"77","well","Adverb","“A1”","6","","","",""
"78","what","Adverb","“A1”","6","","","",""
"79","first","Number","“A1”","6","","","",""
"81","very","Adverb","“A1”","6","","","",""
"82","way","Noun","“A1”","6","","","",""
"83","yes","Exclamation","“A1”","6","","","",""
"84","should","Modal verb","“A1”","6","","","",""
"85","come","Verb","“A1”","6","","","",""
"86","provide","Verb","“A1”","6","","","",""
"87","after","Preposition","“A1”","6","","","",""
"88","up","Preposition","“A1”","6","","","",""
"89","hundred","Number","“A1”","6","","","",""
"90","know","Verb","“A1”","6","","","",""
"91","just","Adverb","“A1”","6","","","",""
"92","work","Verb","“A1”","6","","","",""
"93","many","Determiner","“A1”","6","","","",""
"94","could","Modal verb","“A1”","6","","","",""
"95","work","Noun","“A1”","6","","","",""
"96","my","Pronoun","“A1”","6","","","",""
"97","through","Preposition","“A1”","6","","","",""
"98","how","Adverb","“A1”","6","","","",""
"99","day","Noun","“A1”","6","","","",""
"100","need","Verb","“A1”","6","","","",""
"101","part","Noun","“A1”","6","","","",""
"102","between","Preposition","“A1”","6","","","",""
"103","information","Noun","“A1”","6","","","",""
"104","where","Adverb","“A1”","6","","","",""
"105","look","Verb","“A1”","6","","","",""
"106","us","Pronoun","“A1”","6","","","",""
"107","number","Noun","“A1”","6","","","",""
"108","here","Adverb","“A1”","6","","","",""
"109","before","Preposition","“A1”","6","","","",""
"110","like","Preposition","“A1”","6","","","",""
"111","even","Adverb","“A1”","6","","","",""
"112","great","Adjective","“A1”","6","","","",""
"113","think","Verb","“A1”","6","","","",""
"114","most","Adverb","“A1”","6","","","",""
"115","which","Determiner","“A1”","6","","","",""
"116","up","Adverb","“A1”","6","","","",""
"117","help","Verb","“A1”","6","","","",""
"118","more","Pronoun","“A1”","6","","","",""
"119","place","Noun","“A1”","6","","","",""
"120","so","Adverb","“A1”","6","","","",""
"121","own","Adjective","“A1”","6","","","",""
"122","back","Adverb","“A1”","6","","","",""
"123","want","Verb","“A1”","6","","","",""
"124","last","Adjective","“A1”","6","","","",""
"125","me","Pronoun","“A1”","6","","","",""
"126","still","Adverb","“A1”","6","","","",""
"127","high","Adjective","“A1”","6","","","",""
"128","under","Preposition","“A1”","6","","","",""
"129","life","Noun","“A1”","6","","","",""
"130","same","Adjective","“A1”","6","","","",""
"131","such","Determiner","“A1”","6","","","",""
"132","show","Verb","“A1”","6","","","",""
"133","more","Adverb","“A1”","6","","","",""
"134","three","Number","“A1”","6","","","",""
"135","must","Modal verb","“A1”","6","","","",""
"136","those","Pronoun","“A1”","6","","","",""
"137","because","Conjunction","“A1”","6","","","",""
"138","all","Adverb","“A1”","6","","","",""
"139","another","Determiner","“A1”","6","","","",""
"140","some","Pronoun","“A1”","6","","","",""
"141","both","Determiner","“A1”","6","","","",""
"142","much","Adverb","“A1”","6","","","",""
"143","leave","Verb","“A1”","6","","","",""
"144","thing","Noun","“A1”","6","","","",""
"145","about","Adverb","“A1”","6","","","",""
"146","call","Verb","“A1”","6","","","",""
"147","each","Determiner","“A1”","6","","","",""
"148","small","Adjective","“A1”","6","","","",""
"149","problem","Noun","“A1”","6","","","",""
"150","her","Pronoun","“A1”","6","","","",""
"152","use","Noun","“A1”","6","","","",""
"153","start","Verb","“A1”","6","","","",""
"154","put","Verb","“A1”","6","","","",""
"155","keep","Verb","“A1”","6","","","",""
"156","without","Preposition","“A1”","6","","","",""
"157","too","Adverb","“A1”","6","","","",""
"158","every","Determiner","“A1”","6","","","",""
"159","end","Noun","“A1”","6","","","",""
"161","run","Verb","“A1”","6","","","",""
"162","while","Conjunction","“A1”","6","","","",""
"163","home","Noun","“A1”","6","","","",""
"164","around","Preposition","“A1”","6","","","",""
"165","next","Adjective","“A1”","6","","","",""
"166","full","Adjective","“A1”","6","","","",""
"168","write","Verb","“A1”","6","","","",""
"169","try","Verb","“A1”","6","","","",""
"170","point","Noun","“A1”","6","","","",""
"171","when","Adverb","“A1”","6","","","",""
"172","she","Pronoun","“A1”","6","","","",""
"173","hold","Verb","“A1”","6","","","",""
"174","child","Noun","“A1”","6","","","",""
"175","bring","Verb","“A1”","6","","","",""
"176","old","Adjective","“A1”","6","","","",""
"177","important","Adjective","“A1”","6","","","",""
"178","ask","Verb","“A1”","6","","","",""
"179","mean","Verb","“A1”","6","","","",""
"180","out","Preposition","“A1”","6","","","",""
"181","please","Exclamation","“A1”","6","","","",""
"182","week","Noun","“A1”","6","","","",""
"183","again","Adverb","“A1”","6","","","",""
"184","possible","Adjective","“A1”","6","","","",""
"185","able","Adjective","“A1”","6","","","",""
"186","tell","Verb","“A1”","6","","","",""
"187","meet","Verb","“A1”","6","","","",""
"188","against","Preposition","“A1”","6","","","",""
"189","man","Noun","“A1”","6","","","",""
"190","that","Determiner","“A1”","6","","","",""
"191","might","Modal verb","“A1”","6","","","",""
"193","feel","Verb","“A1”","6","","","",""
"194","always","Adverb","“A1”","6","","","",""
"195","country","Noun","“A1”","6","","","",""
"196","seem","Verb","“A1”","6","","","",""
"197","long","Adjective","“A1”","6","","","",""
"198","play","Verb","“A1”","6","","","",""
"199","month","Noun","“A1”","6","","","",""
"200","why","Adverb","“A1”","6","","","",""
"201","change","Noun","“A1”","6","","","",""
"202","need","Noun","“A1”","6","","","",""
"204","really","Adverb","“A1”","6","","","",""
"205","together","Adverb","“A1”","6","","","",""
"206","live","Verb","“A1”","6","","","",""
"207","name","Noun","“A1”","6","","","",""
"208","like","Verb","“A1”","6","","","",""
"209","book","Noun","“A1”","6","","","",""
"210","often","Adverb","“A1”","6","","","",""
"211","question","Noun","“A1”","6","","","",""
"212","never","Adverb","“A1”","6","","","",""
"213","family","Noun","“A1”","6","","","",""
"215","learn","Verb","“A1”","6","","","",""
"216","late","Adjective","“A1”","6","","","",""
"217","change","Verb","“A1”","6","","","",""
"218","school","Noun","“A1”","6","","","",""
"219","early","Adjective","“A1”","6","","","",""
"220","rather","Adverb","“A1”","6","","","",""
"221","read","Verb","“A1”","6","","","",""
"222","move","Verb","“A1”","6","","","",""
"223","away","Adverb","“A1”","6","","","",""
"224","line","Noun","“A1”","6","","","",""
"225","free","Adjective","“A1”","6","","","",""
"226","fact","Noun","“A1”","6","","","",""
"227","down","Adverb","“A1”","6","","","",""
"228","few","Determiner","“A1”","6","","","",""
"229","off","Adverb","“A1”","6","","","",""
"230","something","Pronoun","“A1”","6","","","",""
"231","already","Adverb","“A1”","6","","","",""
"232","whether","Conjunction","“A1”","6","","","",""
"233","right","Noun","“A1”","6","","","",""
"234","send","Verb","“A1”","6","","","",""
"235","carry","Verb","“A1”","6","","","",""
"236","idea","Noun","“A1”","6","","","",""
"237","other","Pronoun","“A1”","6","","","",""
"238","ensure","Verb","“A1”","6","","","",""
"239","these","Pronoun","“A1”","6","","","",""
"240","hour","Noun","“A1”","6","","","",""
"241","pay","Verb","“A1”","6","","","",""
"242","hand","Noun","“A1”","6","","","",""
"243","side","Noun","“A1”","6","","","",""
"244","cover","Verb","“A1”","6","","","",""
"245","believe","Verb","“A1”","6","","","",""
"246","across","Preposition","“A1”","6","","","",""
"247","young","Adjective","“A1”","6","","","",""
"248","four","Number","“A1”","6","","","",""
"250","one","Pronoun","“A1”","6","","","",""
"251","much","Determiner","“A1”","6","","","",""
"252","once","Adverb","“A1”","6","","","",""
"253","Scottish","Adjective","“A1”","6","","","",""
"254","turn","Verb","“A1”","6","","","",""
"255","those","Determiner","“A1”","6","","","",""
"256","let","Verb","“A1”","6","","","",""
"257","both","Pronoun","“A1”","6","","","",""
"258","word","Noun","“A1”","6","","","",""
"259","type","Noun","“A1”","6","","","",""
"260","cost","Noun","“A1”","6","","","",""
"261","lot","Noun","“A1”","6","","","",""
"262","second","Number","“A1”","6","","","",""
"263","big","Adjective","“A1”","6","","","",""
"264","on","Adverb","“A1”","6","","","",""
"265","special","Adjective","“A1”","6","","","",""
"266","where","Conjunction","“A1”","6","","","",""
"267","Internet","Noun","“A1”","6","","","",""
"268","late","Adverb","“A1”","6","","","",""
"269","expect","Verb","“A1”","6","","","",""
"270","no","Pronoun","“A1”","6","","","",""
"271","apply","Verb","“A1”","6","","","",""
"272","action","Noun","“A1”","6","","","",""
"273","yet","Adverb","“A1”","6","","","",""
"274","person","Noun","“A1”","6","","","",""
"275","easy","Adjective","“A1”","6","","","",""
"276","reason","Noun","“A1”","6","","","",""
"277","only","Adjective","“A1”","6","","","",""
"278","ever","Adverb","“A1”","6","","","",""
"279","today","Noun","“A1”","6","","","",""
"280","contain","Verb","“A1”","6","","","",""
"282","real","Adjective","“A1”","6","","","",""
"283","body","Noun","“A1”","6","","","",""
"284","publish","Verb","“A1”","6","","","",""
"285","centre","Noun","“A1”","6","","","",""
"286","short","Adjective","“A1”","6","","","",""
"287","organisation","Noun","“A1”","6","","","",""
"288","money","Noun","“A1”","6","","","",""
"289","happen","Verb","“A1”","6","","","",""
"290","hear","Verb","“A1”","6","","","",""
"291","house","Noun","“A1”","6","","","",""
"292","join","Verb","“A1”","6","","","",""
"293","understand","Verb","“A1”","6","","","",""
"294","grow","Verb","“A1”","6","","","",""
"295","choose","Verb","“A1”","6","","","",""
"296","clear","Adjective","“A1”","6","","","",""
"297","decide","Verb","“A1”","6","","","",""
"298","friend","Noun","“A1”","6","","","",""
"299","most","Pronoun","“A1”","6","","","",""
"300","most","Determiner","“A1”","6","","","",""
"301","lose","Verb","“A1”","6","","","",""
"302","date","Noun","“A1”","6","","","",""
"303","water","Noun","“A1”","6","","","",""
"304","almost","Adverb","“A1”","6","","","",""
"305","quite","Adverb","“A1”","6","","","",""
"306","manage","Verb","“A1”","6","","","",""
"307","whole","Adjective","“A1”","6","","","",""
"308","five","Number","“A1”","6","","","",""
"309","Jesus","Noun","“A1”","6","","","",""
"310","age","Noun","“A1”","6","","","",""
"311","job","Noun","“A1”","6","","","",""
"312","minute","Noun","“A1”","6","","","",""
"313","buy","Verb","“A1”","6","","","",""
"314","open","Adjective","“A1”","6","","","",""
"315","spend","Verb","“A1”","6","","","",""
"316","top","Adjective","“A1”","6","","","",""
"317","open","Verb","“A1”","6","","","",""
"318","room","Noun","“A1”","6","","","",""
"319","currently","Adverb","“A1”","6","","","",""
"320","night","Noun","“A1”","6","","","",""
"321","market","Noun","“A1”","6","","","",""
"322","each","Pronoun","“A1”","6","","","",""
"323","pass","Verb","“A1”","6","","","",""
"324","building","Noun","“A1”","6","","","",""
"325","matter","Noun","“A1”","6","","","",""
"326","hope","Verb","“A1”","6","","","",""
"327","soon","Adverb","“A1”","6","","","",""
"328","agree","Verb","“A1”","6","","","",""
"329","strong","Adjective","“A1”","6","","","",""
"330","enjoy","Verb","“A1”","6","","","",""
"331","establish","Verb","“A1”","6","","","",""
"332","towards","Preposition","“A1”","6","","","",""
"333","themselves","Pronoun","“A1”","6","","","",""
"334","field","Noun","“A1”","6","","","",""
"335","paper","Noun","“A1”","6","","","",""
"336","especially","Adverb","“A1”","6","","","",""
"337","woman","Noun","“A1”","6","","","",""
"338","wish","Verb","“A1”","6","","","",""
"339","along","Preposition","“A1”","6","","","",""
"340","first","Adverb","“A1”","6","","","",""
"341","until","Preposition","“A1”","6","","","",""
"342","though","Conjunction","“A1”","6","","","",""
"343","since","Preposition","“A1”","6","","","",""
"344","probably","Adverb","“A1”","6","","","",""
"345","office","Noun","“A1”","6","","","",""
"346","bad","Adjective","“A1”","6","","","",""
"347","key","Adjective","“A1”","6","","","",""
"348","speak","Verb","“A1”","6","","","",""
"349","enable","Verb","“A1”","6","","","",""
"350","bit","Noun","“A1”","6","","","",""
"351","car","Noun","“A1”","6","","","",""
"352","stage","Noun","“A1”","6","","","",""
"353","seek","Verb","“A1”","6","","","",""
"354","price","Noun","“A1”","6","","","",""
"355","hard","Adjective","“A1”","6","","","",""
"356","party","Noun","“A1”","6","","","",""
"357","record","Noun","“A1”","6","","","",""
"358","since","Conjunction","“A1”","6","","","",""
"359","kind","Noun","“A1”","6","","","",""
"360","win","Verb","“A1”","6","","","",""
"361","addition","Noun","“A1”","6","","","",""
"362","head","Noun","“A1”","6","","","",""
"363","right","Adjective","“A1”","6","","","",""
"364","perhaps","Adverb","“A1”","6","","","",""
"365","user","Noun","“A1”","6","","","",""
"366","difficult","Adjective","“A1”","6","","","",""
"367","nothing","Noun","“A1”","6","","","",""
"368","stand","Verb","“A1”","6","","","",""
"369","fall","Verb","“A1”","6","","","",""
"370","space","Noun","“A1”","6","","","",""
"371","sure","Adjective","“A1”","6","","","",""
"372","game","Noun","“A1”","6","","","",""
"373","explain","Verb","“A1”","6","","","",""
"374","ground","Noun","“A1”","6","","","",""
"375","above","Preposition","“A1”","6","","","",""
"376","serve","Verb","“A1”","6","","","",""
"377","likely","Adjective","“A1”","6","","","",""
"378","draw","Verb","“A1”","6","","","",""
"379","care","Noun","“A1”","6","","","",""
"380","actually","Adverb","“A1”","6","","","",""
"381","America","Noun","“A1”","6","","","",""
"382","usually","Adverb","“A1”","6","","","",""
"383","anything","Pronoun","“A1”","6","","","",""
"384","place","Verb","“A1”","6","","","",""
"385","million","Number","“A1”","6","","","",""
"387","certain","Adjective","“A1”","6","","","",""
"388","remember","Verb","“A1”","6","","","",""
"389","response","Noun","“A1”","6","","","",""
"390","less","Pronoun","“A1”","6","","","",""
"392","road","Noun","“A1”","6","","","",""
"393","little","Determiner","“A1”","6","","","",""
"394","choice","Noun","“A1”","6","","","",""
"395","amount","Noun","“A1”","6","","","",""
"396","Christ","Noun","“A1”","6","","","",""
"398","among","Preposition","“A1”","6","","","",""
"399","stop","Verb","“A1”","6","","","",""
"400","long","Adverb","“A1”","6","","","",""
"401","maintain","Verb","“A1”","6","","","",""
"402","talk","Verb","“A1”","6","","","",""
"403","music","Noun","“A1”","6","","","",""
"404","sell","Verb","“A1”","6","","","",""
"405","six","Number","“A1”","6","","","",""
"407","food","Noun","“A1”","6","","","",""
"408","size","Noun","“A1”","6","","","",""
"409","city","Noun","“A1”","6","","","",""
"410","news","Noun","“A1”","6","","","",""
"411","mind","Noun","“A1”","6","","","",""
"412","anyone","Pronoun","“A1”","6","","","",""
"413","per","Preposition","“A1”","6","","","",""
"414","situation","Noun","“A1”","6","","","",""
"415","third","Number","“A1”","6","","","",""
"416","sense","Noun","“A1”","6","","","",""
"418","significant","Adjective","“A1”","6","","","",""
"419","someone","Pronoun","“A1”","6","","","",""
"420","break","Verb","“A1”","6","","","",""
"421","story","Noun","“A1”","6","","","",""
"422","difference","Noun","“A1”","6","","","",""
"423","few","Pronoun","“A1”","6","","","",""
"424","ago","Adverb","“A1”","6","","","",""
"425","picture","Noun","“A1”","6","","","",""
"426","chance","Noun","“A1”","6","","","",""
"427","step","Noun","“A1”","6","","","",""
"428","town","Noun","“A1”","6","","","",""
"429","everyone","Pronoun","“A1”","6","","","",""
"430","bear","Verb","“A1”","6","","","",""
"431","forward","Adverb","“A1”","6","","","",""
"432","1","Adjective","“A1”","6","","","",""
"433","end","Verb","“A1”","6","","","",""
"434","face","Verb","“A1”","6","","","",""
"435","computer","Noun","“A1”","6","","","",""
"436","drive","Verb","“A1”","6","","","",""
"437","whose","Determiner","“A1”","6","","","",""
"439","check","Verb","“A1”","6","","","",""
"440","die","Verb","“A1”","6","","","",""
"441","help","Noun","“A1”","6","","","",""
"442","light","Noun","“A1”","6","","","",""
"443","sit","Verb","“A1”","6","","","",""
"444","save","Verb","“A1”","6","","","",""
"445","sometimes","Adverb","“A1”","6","","","",""
"447","content","Noun","“A1”","6","","","",""
"448","past","Adjective","“A1”","6","","","",""
"449","focus","Verb","“A1”","6","","","",""
"450","behind","Preposition","“A1”","6","","","",""
"451","promote","Verb","“A1”","6","","","",""
"452","relevant","Adjective","“A1”","6","","","",""
"453","heart","Noun","“A1”","6","","","",""
"454","walk","Verb","“A1”","6","","","",""
"455","language","Noun","“A1”","6","","","",""
"457","early","Adverb","“A1”","6","","","",""
"458","piece","Noun","“A1”","6","","","",""
"459","up","Adjective","“A1”","6","","","",""
"460","until","Conjunction","“A1”","6","","","",""
"461","copy","Noun","“A1”","6","","","",""
"462","close","Adjective","“A1”","6","","","",""
"463","impact","Noun","“A1”","6","","","",""
"464","eye","Noun","“A1”","6","","","",""
"465","solution","Noun","“A1”","6","","","",""
"466","interested","Adjective","“A1”","6","","","",""
"467","obtain","Verb","“A1”","6","","","",""
"468","post","Verb","“A1”","6","","","",""
"469","letter","Noun","“A1”","6","","","",""
"470","sale","Noun","“A1”","6","","","",""
"471","instead","Adverb","“A1”","6","","","",""
"472","moment","Noun","“A1”","6","","","",""
"473","rest","Noun","“A1”","6","","","",""
"474","top","Noun","“A1”","6","","","",""
"475","thus","Adverb","“A1”","6","","","",""
"476","organise","Verb","“A1”","6","","","",""
"477","degree","Noun","“A1”","6","","","",""
"478","despite","Preposition","“A1”","6","","","",""
"479","everything","Pronoun","“A1”","6","","","",""
"480","stay","Verb","“A1”","6","","","",""
"481","media","Noun","“A1”","6","","","",""
"482","show","Noun","“A1”","6","","","",""
"483","off","Preposition","“A1”","6","","","",""
"484","least","Adverb","“A1”","6","","","",""
"485","land","Noun","“A1”","6","","","",""
"486","interesting","Adjective","“A1”","6","","","",""
"487","love","Verb","“A1”","6","","","",""
"488","else","Adverb","“A1”","6","","","",""
"489","start","Noun","“A1”","6","","","",""
"490","parent","Noun","“A1”","6","","","",""
"491","poor","Adjective","“A1”","6","","","",""
"492","charge","Noun","“A1”","6","","","",""
"493","wait","Verb","“A1”","6","","","",""
"494","near","Preposition","“A1”","6","","","",""
"495","location","Noun","“A1”","6","","","",""
"496","analysis","Noun","“A1”","6","","","",""
"497","unit","Noun","“A1”","6","","","",""
"498","operation","Noun","“A1”","6","","","",""
"499","compare","Verb","“A1”","6","","","",""
"500","arrive","Verb","“A1”","6","","","",""
"501","around","Adverb","“A1”","6","","","",""
"502","colour","Noun","“A1”","6","","","",""
"503","teach","Verb","“A1”","6","","","",""
"504","watch","Verb","“A1”","6","","","",""
"505","test","Noun","“A1”","6","","","",""
"506","himself","Pronoun","“A1”","6","","","",""
"507","society","Noun","“A1”","6","","","",""
"508","depend","Verb","“A1”","6","","","",""
"509","reflect","Verb","“A1”","6","","","",""
"510","couple","Noun","“A1”","6","","","",""
"511","table","Noun","“A1”","6","","","",""
"512","directly","Adverb","“A1”","6","","","",""
"513","film","Noun","“A1”","6","","","",""
"514","club","Noun","“A1”","6","","","",""
"515","happy","Adjective","“A1”","6","","","",""
"516","certainly","Adverb","“A1”","6","","","",""
"517","author","Noun","“A1”","6","","","",""
"518","outside","Preposition","“A1”","6","","","",""
"519","post","Noun","“A1”","6","","","",""
"520","player","Noun","“A1”","6","","","",""
"521","least","Pronoun","“A1”","6","","","",""
"522","close","Verb","“A1”","6","","","",""
"523","natural","Adjective","“A1”","6","","","",""
"524","indeed","Adverb","“A1”","6","","","",""
"525","means","Noun","“A1”","6","","","",""
"526","right","Adverb","“A1”","6","","","",""
"527","central","Adjective","“A1”","6","","","",""
"528","look","Noun","“A1”","6","","","",""
"529","lie","Verb","“A1”","6","","","",""
"530","manager","Noun","“A1”","6","","","",""
"531","deal","Noun","“A1”","6","","","",""
"532","cut","Verb","“A1”","6","","","",""
"533","morning","Noun","“A1”","6","","","",""
"534","explore","Verb","“A1”","6","","","",""
"535","war","Noun","“A1”","6","","","",""
"536","call","Noun","“A1”","6","","","",""
"537","summer","Noun","“A1”","6","","","",""
"539","what","Determiner","“A1”","6","","","",""
"540","foot","Noun","“A1”","6","","","",""
"541","mention","Verb","“A1”","6","","","",""
"542","evening","Noun","“A1”","6","","","",""
"543","longer","Adverb","“A1”","6","","","",""
"544","either","Adverb","“A1”","6","","","",""
"545","miss","Verb","“A1”","6","","","",""
"546","provision","Noun","“A1”","6","","","",""
"547","fill","Verb","“A1”","6","","","",""
"549","sound","Noun","“A1”","6","","","",""
"550","essential","Adjective","“A1”","6","","","",""
"551","card","Noun","“A1”","6","","","",""
"552","answer","Noun","“A1”","6","","","",""
"553","quickly","Adverb","“A1”","6","","","",""
"554","record","Verb","“A1”","6","","","",""
"555","easily","Adverb","“A1”","6","","","",""
"556","air","Noun","“A1”","6","","","",""
"557","propose","Verb","“A1”","6","","","",""
"558","former","Adjective","“A1”","6","","","",""
"559","serious","Adjective","“A1”","6","","","",""
"560","teacher","Noun","“A1”","6","","","",""
"561","shop","Noun","“A1”","6","","","",""
"562","ten","Number","“A1”","6","","","",""
"563","front","Noun","“A1”","6","","","",""
"564","huge","Adjective","“A1”","6","","","",""
"565","treat","Verb","“A1”","6","","","",""
"566","software","Noun","“A1”","6","","","",""
"567","board","Noun","“A1”","6","","","",""
"568","communication","Noun","“A1”","6","","","",""
"569","technique","Noun","“A1”","6","","","",""
"570","face","Noun","“A1”","6","","","",""
"571","challenge","Noun","“A1”","6","","","",""
"572","client","Noun","“A1”","6","","","",""
"573","door","Noun","“A1”","6","","","",""
"574","contribute","Verb","“A1”","6","","","",""
"575","potential","Adjective","“A1”","6","","","",""
"576","mile","Noun","“A1”","6","","","",""
"577","box","Noun","“A1”","6","","","",""
"578","associate","Verb","“A1”","6","","","",""
"580","either","Conjunction","“A1”","6","","","",""
"582","because","Preposition","“A1”","6","","","",""
"583","video","Noun","“A1”","6","","","",""
"584","fine","Adjective","“A1”","6","","","",""
"585","extra","Adjective","“A1”","6","","","",""
"586","assessment","Noun","“A1”","6","","","",""
"587","entry","Noun","“A1”","6","","","",""
"588","season","Noun","“A1”","6","","","",""
"589","pressure","Noun","“A1”","6","","","",""
"590","principle","Noun","“A1”","6","","","",""
"591","safe","Adjective","“A1”","6","","","",""
"592","wrong","Adjective","“A1”","6","","","",""
"593","define","Verb","“A1”","6","","","",""
"594","finish","Verb","“A1”","6","","","",""
"595","normal","Adjective","“A1”","6","","","",""
"596","sort","Noun","“A1”","6","","","",""
"597","progress","Noun","“A1”","6","","","",""
"598","demonstrate","Verb","“A1”","6","","","",""
"599","half","Noun","“A1”","6","","","",""
"600","unless","Conjunction","“A1”","6","","","",""
"601","fit","Verb","“A1”","6","","","",""
"602","more","Determiner","“A1”","6","","","",""
"603","task","Noun","“A1”","6","","","",""
"604","window","Noun","“A1”","6","","","",""
"605","pick","Verb","“A1”","6","","","",""
"606","whom","Pronoun","“A1”","6","","","",""
"607","little","Adjective","“A1”","6","","","",""
"608","onto","Preposition","“A1”","6","","","",""
"610","sign","Noun","“A1”","6","","","",""
"611","church","Noun","“A1”","6","","","",""
"612","animal","Noun","“A1”","6","","","",""
"613","white","Adjective","“A1”","6","","","",""
"614","phone","Noun","“A1”","6","","","",""
"615","wall","Noun","“A1”","6","","","",""
"616","economic","Adjective","“A1”","6","","","",""
"617","sign","Verb","“A1”","6","","","",""
"618","thousand","Number","“A1”","6","","","",""
"619","officer","Noun","“A1”","6","","","",""
"620","partnership","Noun","“A1”","6","","","",""
"621","street","Noun","“A1”","6","","","",""
"622","machine","Noun","“A1”","6","","","",""
"623","collect","Verb","“A1”","6","","","",""
"624","growth","Noun","“A1”","6","","","",""
"625","importance","Noun","“A1”","6","","","",""
"626","improvement","Noun","“A1”","6","","","",""
"627","detailed","Adjective","“A1”","6","","","",""
"628","station","Noun","“A1”","6","","","",""
"629","fun","Noun","“A1”","6","","","",""
"630","love","Noun","“A1”","6","","","",""
"631","enough","Adverb","“A1”","6","","","",""
"632","invite","Verb","“A1”","6","","","",""
"633","locate","Verb","“A1”","6","","","",""
"634","nearly","Adverb","“A1”","6","","","",""
"635","yourself","Pronoun","“A1”","6","","","",""
"636","back","Noun","“A1”","6","","","",""
"637","whatever","Determiner","“A1”","6","","","",""
"638","black","Adjective","“A1”","6","","","",""
"639","listen","Verb","“A1”","6","","","",""
"640","ready","Adjective","“A1”","6","","","",""
"641","thank","Verb","“A1”","6","","","",""
"642","forget","Verb","“A1”","6","","","",""
"643","seven","Number","“A1”","6","","","",""
"644","myself","Pronoun","“A1”","6","","","",""
"645","nice","Adjective","“A1”","6","","","",""
"646","exactly","Adverb","“A1”","6","","","",""
"647","girl","Noun","“A1”","6","","","",""
"648","mother","Noun","“A1”","6","","","",""
"649","boy","Noun","“A1”","6","","","",""
"650","wear","Verb","“A1”","6","","","",""
"651","maybe","Adverb","“A1”","6","","","",""
"652","bed","Noun","“A1”","6","","","",""
"653","eight","Number","“A1”","6","","","",""
"654","weekend","Noun","“A1”","6","","","",""
"655","father","Noun","“A1”","6","","","",""
"656","hot","Adjective","“A1”","6","","","",""
